,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment
0,ABT,abbott_laboratories,17.43,1.71,0.18176972281449894,2.32,0.98,6740.0,1472.799999999999,1.19,0.42450000000000004,0.24710000000000001
1,ABBV,abbvie,34.92,1.83,0.0883395722366056,1.13,0.84,5724.0,599.2999999999996,1.42,0.2139,0.1643
2,ABMD,abiomed,32.24,1.02,0.09321269195432472,9.96,1.42,16790.0,-738.8000000000009,0.91,0.5686,0.1881
3,ACN,accenture,110.85,7.64,0.1683748169838946,0.11,0.51,221.2,221.20000000000005,6.89,0.1128,inf
4,AAP,advance_auto_parts,44.55,2.24,0.20916730328495034,0.56,1.17,777.0,707.6000000000006,1.71,0.5988,0.4384
5,AES,aes_corp,24.28,1.24,0.10569334836527622,2.71,0.32,703.02,432.09999999999997,0.35,0.19079999999999997,0.1985
6,AFL,aflac,31.56,1.22,0.023597004206422488,5.08,3.95,855.0,251.60000000000034,1.1,0.10039999999999999,0.0437
7,APD,air_products_&_chemicals,40.52,2.22,0.14971657219073026,0.99,0.92,1298.0,136.50000000000006,1.74,0.2426,0.1777
8,AKAM,akamai_technologies,32.23,2.99,0.09480465502909394,0.91,4.42,908.5,712.8000000000003,2.83,0.1561,0.1109
9,ARE,alexandria_real_estate_equities,123.69,1.31,0.058497109826589594,0.84,0.78,-51.56,297.3999999999999,0.84,0.037599999999999995,0.1211
10,ALLE,allegion,70.66,1.37,0.11044520547945205,0.61,1.26,507.26,434.3000000000002,1.26,0.2188,inf
11,LNT,alliant_energy,26.02,1.52,0.15855572998430142,2.59,1.21,443.2,164.9,1.08,0.5766,0.2446
12,ALL,allstate_corp,24.3,0.65,0.04508621214890635,1.96,1.03,-865.0,205.39999999999978,0.51,0.1056,0.061399999999999996
13,GOOG,alphabet (class_c),27.9,2.98,0.15687528065088172,0.42,21.61,42843.0,15541.499999999998,2.96,0.30219999999999997,0.2925
14,MO,altria_group,27.87,2.98,0.15687528065088172,0.42,21.61,42843.0,15541.499999999998,2.96,0.30219999999999997,0.2925
15,AMZN,amazon,32.02,0.74,0.2835128158327032,-32.28,2.75,8154.0,-1016.600000000004,0.6,1.3980000000000001,0.3824
16,AMCR,amcor,65.23,1.12,0.11754530054925312,2.17,2.03,31020.0,11785.400000000001,0.87,0.24309999999999998,0.1898
17,AEE,ameren_corp,20.02,1.31,0.10285758779101456,2.62,1.31,1019.0,-242.90000000000003,0.79,0.1977,0.12
18,AAL,american_airlines_group,23.3,0.94,0.04355108877721943,2.53,0.65,-1572.0,309.79999999999995,0.68,0.1041,0.0632
19,AEP,american_electric_power,0.0,1.01,-0.22934043442857457,-10.2,4.03,-8150.0,-1299.9,0.92,0.43320000000000003,-0.1013
20,AXP,american_express,18.57,0.58,0.04218491903262696,2.83,1.47,-2413.4,686.6,0.48,0.1107,0.0634
21,AME,ametek,17.98,0.94,0.14731835534138557,97.11,3.7,2242.81,-465.10000000000036,0.57,16.3395,0.40590000000000004
22,AMGN,amgen,36.85,1.26,0.11076392630104515,0.78,1.29,1206.78,676.8000000000001,0.81,0.14880000000000002,0.1465
23,APH,amphenol,23.17,1.64,0.178165513207915,6.91,0.39,9889.0,-5819.8,1.36,0.6373,0.1825
24,ADI,analog_devices,36.83,2.4,0.16342412451361868,1.48,0.99,1327.9,156.99999999999994,1.72,0.2608,0.19920000000000002
25,ANSS,ansys,47.63,1.94,0.034145947691314175,0.38,1.01,2427.11,646.5000000000003,1.51,0.0747,0.0727
26,APA,apa_corporation,29.71,1.77,0.19349164467897978,0.74,1.61,505.3,236.8,1.41,0.2526,0.2999
27,AMAT,applied_materials,31.6,1.08,0.48309913489209433,4.56,7.32,92953.0,-24097.00000000001,1.02,1.4412,0.6357
28,APTV,aptiv,24.55,2.54,0.3536266105436066,1.11,0.74,4774.0,3430.499999999999,1.86,0.493,0.3961
29,ADM,adm,56.3,2.11,0.15716829919857525,1.08,1.48,839.0,591.2,1.56,0.09519999999999999,0.1114
30,ANET,arista_networks,14.6,1.58,0.05599771696737166,1.38,1.7,-3209.0,607.7999999999998,0.98,0.12380000000000001,0.0932
31,AJG,arthur_j._gallagher_&_co.,58.32,5.06,0.17632241813602015,0.41,0.47,719.73,411.5,4.42,0.2188,inf
32,ATO,atmos_energy,205.0,0.7,0.013853950592983694,2.02,5.77,27455.0,1288.1999999999964,0.66,0.0052,0.0216
33,ADSK,autodesk,20.3,0.81,0.05621816374704932,1.48,0.87,-3053.79,328.5,0.76,0.0867,0.06559999999999999
34,AVB,avalonbay_communities,20.39,0.79,0.41211866778617406,-7.81,0.37,2926.76,220.20000000000013,0.2,-1.2666,0.9229
35,BKR,baker_hughes,24.25,1.07,0.19456469456469455,3.43,1.73,541.9,213.40000000000023,0.73,0.45659999999999995,0.2764
36,BAC,bank_of_america,39.62,0.97,0.07263904982618771,4.35,1.74,319.0,372.19999999999976,0.7,0.22510000000000002,0.11019999999999999
37,BAX,baxter_international,12.31,2.08,0.180674671240709,-4.6,0.73,1811.0,-400.0,1.28,-1.5755000000000001,0.6502
38,BDX,becton_dickinson,35.92,2.37,0.09684765671820687,1.25,0.94,1159.0,549.0999999999997,1.79,0.1405,0.12119999999999999
39,BRK.B,berkshire_hathaway,36.71,1.33,0.05922946655376799,1.28,0.99,3416.0,162.49999999999991,0.9,0.0823,0.0683
40,BIO,bio-rad_laboratories,9.84,1.13,0.2797800140416569,3.7,1.07,4214.0,-44.400000000000205,0.42,0.6093,0.5861999999999999
41,TECH,bio-techne,3.43,3.8,0.033303622072765576,0.3,0.53,476.48,1851.9000000000003,2.89,0.5617,0.047
42,BIIB,biogen,119.48,4.06,0.11232227488151658,0.38,0.74,307.86,75.19999999999999,3.18,0.1124,0.1374
43,BLK,blackrock,23.48,1.7,0.2179431910715141,1.19,0.38,3805.0,-154.70000000000016,1.38,0.1423,0.1073
44,BKNG,booking_holdings,0.0,1.36,-0.1961884790921426,-11.29,0.17,-19417.0,-318.2000000000021,0.41,0.5086999999999999,-0.1625
45,BXP,boston_properties,14.0,1.78,0.050576970292167935,1.35,1.68,723.0,557.3,1.32,0.1117,0.1091
46,BMY,bristol_myers_squibb,58.19,1.55,-0.002915667097250415,0.94,0.56,1144.0,1854.3000000000006,1.15,0.0693,0.043
47,AVGO,broadcom,0.0,1.47,-0.06912405307793684,1.97,1.06,13299.0,-2115.000000000003,1.36,-0.1444,-0.0519
48,CHRW,c._h._robinson,45.82,5.15,0.20806566738044255,1.26,0.23,755.0,-147.6000000000001,2.86,0.2859,0.2109
49,CZR,caesars_entertainment,75.14,1.7,0.20481927710843373,0.6,0.75,810.11,584.7000000000002,1.59,0.2722,0.2655
50,CPB,campbell_soup,0.0,1.19,-0.012928994082840237,6.87,26.0,-379.0,-286.1000000000001,1.18,-0.2305,0.0383
51,COF,capital_one,13.88,0.8,0.15574596774193547,2.68,1.55,760.0,368.0,0.39,0.31,0.1832
52,KMX,carmax,13.3,1.12,0.028046823934874326,29.8,2.88,2029.0,-1099.9000000000005,0.57,0.6524,0.1943
53,CCL,carnival_corporation,23.17,2.9,0.05256261653983773,4.01,1.75,505.07,245.0999999999999,0.63,0.2516,0.07690000000000001
54,CARR,carrier_global,0.0,0.94,-0.19740797648473513,2.6,3.54,-9587.0,-817.5000000000008,0.91,-0.49810000000000004,-0.1567
55,CAT,caterpillar,40.39,3.59,0.10459828196058615,1.33,1.13,-253.0,229.90000000000003,3.02,0.1316,0.1177
56,CBOE,cboe_global_markets,22.11,1.61,0.09774364628281407,3.84,0.63,4984.0,2371.599999999999,1.09,0.3141,0.1552
57,CE,celanese,28.76,1.38,0.21648916636063165,9.77,5.19,1156.3,-46.49999999999984,1.16,0.9299,0.2813
58,CNC,centene,6.82,2.4,0.07430617726051925,1.71,1.34,979.0,902.0999999999998,1.76,0.6948000000000001,0.22149999999999997
59,CDAY,ceridian,18.36,1.71,0.036270334427145154,3.19,0.48,-601.0,-26.500000000000014,1.58,0.1036,0.057300000000000004
60,CF,cf_industries,53.99,1.57,0.14402644419959074,0.96,9.89,857.45,576.0000000000002,1.56,0.12560000000000002,0.1174
61,CRL,charles_river_laboratories,51.29,1.79,0.05604029864171989,1.1,2.21,924.0,-136.10000000000014,1.38,0.0524,0.0808
62,SCHW,charles_schwab,48.68,1.4,0.09309825843904537,1.9,3.08,380.02,91.10000000000002,1.22,0.1748,0.11630000000000001
63,CMG,chipotle_mexican_grill,22.65,1.28,-0.03104679536963425,0.76,4.23,1655.0,-2449.9000000000124,1.03,0.0739,0.0787
64,CB,chubb,70.15,1.79,0.05619066072466576,1.87,52.48,290.5,263.4000000000002,1.75,0.3301,inf
65,CI,cigna,31.44,0.74,0.1709259873879854,1.1,1.33,898.4,447.8000000000001,0.39,0.24969999999999998,0.22469999999999998
66,CSCO,cisco_systems,55.74,1.22,0.2197366333491988,1.25,2.14,1248.98,687.0999999999996,1.01,0.3211,0.2776
67,C,citigroup,23.56,1.62,0.18013756316676025,1.25,2.65,14790.0,-4698.000000000001,1.54,0.2792,0.2735
68,CLX,clorox,37.69,0.66,0.22242512783053323,15.35,6.01,894.37,309.6999999999998,0.65,1.2019,0.1213
69,CME,cme_group,50.39,0.69,0.21669004207573633,10.47,1.45,945.0,-203.80000000000004,0.39,0.5056,0.21109999999999998
70,KO,coca-cola,21.61,0.76,0.05121841155234657,3.59,0.95,-1041.0,216.6,0.53,0.1369,0.07519999999999999
71,CTSH,cognizant_technology_solutions,29.02,1.52,0.12376367012861958,2.75,1.25,8856.0,753.1000000000035,1.32,0.3832,0.1745
72,CMCSA,comcast,27.27,1.09,0.3373567210837096,14.46,1.07,3309.0,952.3999999999994,0.7,2.9181,0.46049999999999996
73,COP,conocophillips,13.77,0.96,0.09693472391338874,1.61,1.01,964.2,475.79999999999984,0.33,0.14150000000000001,0.09960000000000001
74,ED,consolidated_edison,21.48,1.93,-0.03762313980297632,0.98,4.07,1404.0,1768.1000000000015,1.83,0.11599999999999999,0.1448
