Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,48.21B
AA,Alcoa,Metals & Mining,11.15B
AAC,Ares Acquisition,Blank Check / SPAC,1.22B
AACG,ATA Creativity Global,Diversified Consumer Services,33.59M
AACI,Armada Acquisition I,Blank Check / SPAC,202.75M
AADI,Aadi Bioscience,Biotechnology,504.59M
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trus...,110.18M
AAL,American Airlines Group,Airlines,11.63B
AAMC,Altisource Asset Management,Real Estate Management & Development,36.79M
AAME,Atlantic American,Insurance,49.93M
AAN,The Aaron's Company,Specialty Retail,776.06M
AAOI,Applied Optoelectronics,Communications Equipment,140.31M
AAON,"AAON, Inc.",Building Products,4.16B
AAP,Advance Auto Parts,Specialty Retail,14.96B
AAPL,Apple,"Technology Hardware, Storage & Periph...","2,913.28B"
AAQC,Accelerate Acquisition,Blank Check / SPAC,486.00M
AAT,American Assets Trust,Equity Real Estate Investment Trusts...,2.27B
AATC,Autoscope Technologies,Scientific & Technical Instruments,33.79M
AAU,Almaden Minerals,Metals & Mining,41.10M
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2.73B
AB,AllianceBernstein Holding,Capital Markets,4.82B
ABB,ABB Ltd,Electrical Equipment,76.16B
ABBV,AbbVie,Biotechnology,239.37B
ABC,AmerisourceBergen,Health Care Providers & Services,27.66B
ABCB,Ameris Bancorp,Banks,3.46B
ABCL,AbCellera Biologics,Biotechnology,4.03B
ABCM,Abcam,Biotechnology,5.39B
ABEO,Abeona Therapeutics,Biotechnology,49.41M
ABEV,Ambev,Beverages,44.07B
ABG,Asbury Automotive Group,Specialty Retail,4.00B
ABGI,ABG Acquisition I,Blank Check / SPAC,189.07M
ABIO,ARCA biopharma,Biotechnology,30.98M
ABM,ABM Industries,Commercial Services & Supplies,2.75B
ABMD,Abiomed,Health Care Equipment & Supplies,16.34B
ABNB,Airbnb,"Hotels, Restaurants & Leisure",105.79B
ABOS,Acumen Pharmaceuticals,Biotechnology,273.58M
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trus...,2.76B
ABSI,Absci,Biotechnology,759.25M
ABST,Absolute Software,Software-Application,468.81M
ABT,Abbott Laboratories,Health Care Equipment & Supplies,248.87B
ABTX,Allegiance Bancshares,Banks,854.78M
ABUS,Arbutus Biopharma,Biotechnology,526.20M
ABVC,ABVC BioPharma,Biotechnology,96.99M
AC,Associated Capital Group,Capital Markets,948.50M
ACA,Arcosa,Construction & Engineering,2.55B
ACAD,ACADIA Pharmaceuticals,Biotechnology,3.75B
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,420.90M
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,277.41M
ACB,Aurora Cannabis,Pharmaceuticals,1.07B
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61.45M
ACBI,Atlantic Capital Bancshares,Banks,584.17M
ACC,American Campus Communities,Equity Real Estate Investment Trusts...,7.97B
ACCD,Accolade,Health Care Technology,1.76B
ACCO,ACCO Brands,Commercial Services & Supplies,790.74M
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1.22B
ACER,Acer Therapeutics,Pharmaceuticals,32.63M
ACET,Adicet Bio,Health Care Providers & Services,684.61M
ACEV,ACE Convergence Acquisition,Blank Check / SPAC,286.35M
ACGL,Arch Capital Group,Insurance,17.16B
ACH,Aluminum Corporation of China,Metals & Mining,14.81B
ACHC,Acadia Healthcare Company,Health Care Providers & Services,5.46B
ACHL,Achilles Therapeutics,Biotechnology,203.42M
ACHR,Archer Aviation,Aerospace & Defense,1.43B
ACHV,Achieve Life Sciences,Biotechnology,73.55M
ACI,Albertsons Companies,Grocery Stores,14.10B
ACII,Atlas Crest Investment II,Blank Check / SPAC,419.61M
ACIU,AC Immune,Biotechnology,359.63M
ACIW,ACI Worldwide,Software,4.08B
ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,154.43M
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2.48B
ACM,AECOM,Construction & Engineering,11.00B
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,1.66B
ACN,Accenture,IT Services,262.21B
ACNB,ACNB Corporation,Banks,271.98M
ACOR,Acorda Therapeutics,Biotechnology,26.77M
ACQR,Independence Holdings,Blank Check / SPAC,601.72M
ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trus...,117.51M
ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trus...,683.41M
ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,364.50M
ACRS,Aclaris Therapeutics,Pharmaceuticals,890.24M
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,66.84M
ACST,Acasti Pharma,Pharmaceuticals,56.27M
ACT,Enact Holdings,Insurance-Specialty,3.37B
ACTD,ArcLight Clean Transition II,Blank Check / SPAC,388.18M
ACTG,Acacia Research,Professional Services,254.41M
ACU,Acme United,Commercial Services & Supplies,119.96M
ACVA,ACV Auctions,Software-Application,2.93B
ACXP,Acurx Pharmaceuticals,Biotechnology,44.15M
ACY,AeroCentury,Trading Companies & Distributors,263.68M
ADAG,Adagene,Biotechnology,351.59M
ADAP,Adaptimmune Therapeutics,Biotechnology,585.76M
ADBE,Adobe,Software,269.81B
ADC,Agree Realty,Equity Real Estate Investment Trusts...,5.09B
ADCT,ADC Therapeutics,Communications Equipment,1.55B
ADER,26 Capital Acquisition,Blank Check / SPAC,338.59M
ADES,Advanced Emissions Solutions,Chemicals,124.89M
ADEX,Adit EdTech Acquisition,Blank Check / SPAC,341.55M
ADGI,Adagio Therapeutics,Biotechnology,807.69M
ADI,Analog Devices,Semiconductors & Semiconductor Equipment,92.34B
ADIL,Adial Pharmaceuticals,Pharmaceuticals,56.56M
ADM,Archer-Daniels-Midland Company,Food Products,37.81B
ADMA,ADMA Biologics,Biotechnology,276.10M
ADMP,Adamis Pharmaceuticals,Pharmaceuticals,90.08M
ADN,Advent Technologies Holdings,Utilities-Renewable,359.29M
ADNT,Adient,Auto Components,4.52B
ADOC,Edoc Acquisition,Blank Check / SPAC,120.52M
ADP,Automatic Data Processing,IT Services,103.90B
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,3.96B
ADRA,Adara Acquisition,Blank Check / SPAC,140.73M
ADS,Alliance Data Systems,IT Services,3.31B
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,164.60M
ADSK,Autodesk,Software,61.85B
ADT,ADT Inc.,Commercial Services & Supplies,6.99B
ADTH,AdTheorent Holding Company,Advertising Agencies,255.34M
ADTN,ADTRAN,Communications Equipment,1.11B
ADTX,Aditx,Biotechnology,23.32M
ADUS,Addus HomeCare,Health Care Providers & Services,1.49B
ADV,Advantage Solutions,Advertising Agencies,2.55B
ADVM,Adverum Biotechnologies,Biotechnology,172.75M
ADXN,Addex Therapeutics,Biotechnology,38.85M
ADXS,Advaxis,Biotechnology,22.66M
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",121.11M
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,292.80M
AEAE,AltEnergy Acquisition,Blank Check / SPAC,246.25M
AEE,Ameren,Multi-Utilities,22.93B
AEG,Aegon,Insurance,9.99B
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,125.87M
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,9.44M
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,642.15M
AEI,Alset EHome International,Real Estate-Development,40.26M
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3.43B
AEL,American Equity Investment Life Holding Company,Insurance,3.60B
AEM,Agnico Eagle Mines,Metals & Mining,13.01B
AEMD,Aethlon Medical,Health Care Equipment & Supplies,28.64M
AENZ,Aenza,Engineering & Construction,296.14M
AEO,American Eagle Outfitters,Specialty Retail,4.27B
AEP,American Electric Power Company,Electric Utilities,44.16B
AER,AerCap Holdings,Trading Companies & Distributors,16.02B
AERC,AeroClean Technologies,Pollution & Treatment Controls,145.15M
AERI,Aerie Pharmaceuticals,Pharmaceuticals,332.45M
AES,The AES Corporation,Independent Power and Renewable Elect...,16.20B
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",66.93M
AEVA,Aeva Technologies,Auto Parts,1.62B
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",22.04M
AEYE,AudioEye,Software,79.71M
AEZS,AEterna Zentaris,Biotechnology,43.32M
AFAQ,AF Acquisition,Blank Check / SPAC,272.16M
AFBI,Affinity Bancshares,Banks,105.84M
AFCG,AFC Gamma,REIT-Specialty,374.24M
AFG,American Financial Group,Insurance,11.65B
AFI,Armstrong Flooring,Building Products,42.98M
AFIB,Acutus Medical,Medical Devices,95.32M
AFIN,American Finance Trust,Equity Real Estate Investment Trusts...,1.13B
AFL,Aflac,Insurance,38.63B
AFMD,Affimed,Biotechnology,661.28M
AFRM,Affirm Holdings,IT Services,28.26B
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,304.69M
AFYA,Afya Limited,Diversified Consumer Services,1.46B
